"filename", "language", "C++", "comment", "blank", "total"
"d:\croxcut\c projects\OpenGL\misc\utility\generator.h", "C++", 11, 27, 5, 43
"d:\croxcut\c projects\OpenGL\misc\utility\log.h", "C++", 50, 27, 12, 89
"d:\croxcut\c projects\OpenGL\misc\utility\pxl_pre_compile.h", "C++", 25, 31, 7, 63
"d:\croxcut\c projects\OpenGL\misc\utility\types.h", "C++", 15, 27, 6, 48
"Total", "-", 101, 112, 30, 243
