"filename", "language", "C++", "comment", "blank", "total"
"d:\croxcut\c projects\OpenGL\main\engine.cpp", "C++", 36, 27, 17, 80
"d:\croxcut\c projects\OpenGL\main\engine.h", "C++", 22, 27, 9, 58
"d:\croxcut\c projects\OpenGL\main\templates\pxl_hash_map.h", "C++", 124, 27, 36, 187
"d:\croxcut\c projects\OpenGL\main\templates\pxl_vector.h", "C++", 339, 40, 108, 487
"Total", "-", 521, 121, 170, 812
