"filename", "language", "C++", "comment", "blank", "total"
"d:\croxcut\c projects\OpenGL\main\engine.cpp", "C++", 36, 27, 17, 80
"d:\croxcut\c projects\OpenGL\main\engine.h", "C++", 22, 27, 9, 58
"d:\croxcut\c projects\OpenGL\main\templates\pxl_hash_map.h", "C++", 124, 27, 36, 187
"d:\croxcut\c projects\OpenGL\main\templates\pxl_vector.h", "C++", 339, 40, 108, 487
"d:\croxcut\c projects\OpenGL\misc\utility\generator.h", "C++", -11, -27, -5, -43
"d:\croxcut\c projects\OpenGL\misc\utility\log.h", "C++", -50, -27, -12, -89
"d:\croxcut\c projects\OpenGL\misc\utility\pxl_pre_compile.h", "C++", -25, -31, -7, -63
"d:\croxcut\c projects\OpenGL\misc\utility\types.h", "C++", -15, -27, -6, -48
"Total", "-", 420, 9, 140, 569
